Sentence,Label
JE. PREMIUM SIDES~~JE. SIDES~~ANY £1 HOT HONEY HALLOUMI FRIES (V),"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~MEDIUM PLANT SAN FRAN MARGHERITA,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
HUT DEALS~~HUT DEALS~~SF ULT PIZZA FST,"['O', 'C', 'O', 'C', 'O', 'O', 'C', 'O']"
PREP BASES~~FOOD PREPARED ITEMS~~BNY BEYOND MEAT PEPPERONI MEAT FEAST,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 2 PLANT SAN FRAN BEYOND ITALI,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. MED PIZZA~~DV. MED PIZZA~~MEDIUM DEAL 1 PLANT SAN FRAN BEYOND ITAL,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 3 PLANT SAN FRAN BEYOND ITALI,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE UPG DEAL 1 PLANT VEG SIZZLER,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. SML CLASSIC NO G~~UE. SMALL PIZZA~~S CLC NG PLANT VEG SIZZLER,"['O', 'O', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. LG PAN~~JE. LARGE PIZZA~~L PAN PLANT VEG SUPREME,"['O', 'O', 'B', 'O', 'S', 'C', 'S', 'B', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE PLANT VEG SUPREME,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O']"
DV. DESSERTS~~DV. DESSERTS~~BEN & JERRY’S SPECTACU-LOVE 465ML,"['O', 'C', 'O', 'C', 'O', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE DEAL 2 PLANT SAN FRAN BEYOND ITALI,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~S CLC 11G DRIED CHILLI FLAKES,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE UPG DEAL 1 PLANT MARGHERITA,"['O', 'O', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
HUT LG CLASSIC NO GR~~HUT LARGE PIZZA~~L SF NG HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PREP BASE SAUCE/CHS~~PREP BUILD~~L SC 170G PLANT CHEEZE,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. DEALS~~UE. DEALS~~UE C2 DEAL 1 MEDIUM PIZZA,"['O', 'C', 'O', 'C', 'O', 'O', 'O', 'O', 'S', 'C']"
DV. LG CLASSIC NO GR~~DV. LARGE PIZZA~~LARGE SAN FRAN NO GARLIC MEAT SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. PREMIUM SIDES~~UE. SIDES~~HOT HONEY BBQ CHICKEN WINGS,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~L SF DEAL 1 SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 3 PLANT VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. LG PAN~~JE. LARGE PIZZA~~L PAN HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'O', 'O']"
DV. MED CLASSIC NO G~~DV. MED PIZZA~~M CLC NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG STUFFED CRUST~~JE. LARGE PIZZA~~YUM TEST STUFFED CRUST MEAT SUPREME,"['O', 'S', 'B', 'B', 'O', 'S', 'C', 'O', 'O', 'B', 'B', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O']"
UE. MED CLASSIC GF~~UE. MED PIZZA~~YUM GLUTEN FREE MEAT SUPREME,"['O', 'S', 'B', 'O', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'O']"
JE. SML PIZZA~~JE. SMALL PIZZA~~SMALL SAN FRAN DEAL 1 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PAN~~DV. LARGE PIZZA~~L PAN PLANT MARGHERITA,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~M PLANT (EXT) CHEEZE +100 PLANT -150 MOZ,"['O', 'C', 'O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
HUT LG PAN~~HUT LARGE PIZZA~~L PAN PLANT BM ITALIAN SAUSAGE,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'B', 'O', 'O', 'B', 'O']"
DV. SML CLASSIC NO G~~DV. SMALL PIZZA~~S SF NG PLANT BM ITALIAN SAUSAGE,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'B', 'O']"
HUT SML CLASSIC NO G~~HUT SMALL PIZZA~~S CLC NG PLANT MARGHERITA,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O']"
PREP BASES~~FOOD PREPARED ITEMS~~SLICE BNY VEGETABLE SUPREME WITH GARLIC,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE DEAL 3 PLANT MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
UE. PREMIUM SIDES~~UE. SIDES~~ANY £1 HOT HONEY BBQ CHICKEN WINGS,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
0002-PIZZA TOPPINGS~~PURCHASED ITEMS~~ZTURKEY STAMP,"['C', 'C', 'O', 'O', 'O', 'O']"
UE. SML PIZZA~~UE. SMALL PIZZA~~SMALL DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~L UPG DEAL 1 HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. LG CLASSIC NO GR~~UE. LARGE PIZZA~~L SF NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~L SF DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL DEAL 2 PLANT SAN FRAN VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~MEDIUM DEAL 2 PLANT VEG SIZZLE,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 3 PLANT SAN FRAN VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. SML PIZZA~~JE. SMALL PIZZA~~SMALL PLANT SAN FRAN VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
HUT SML CLASSIC NO G~~HUT SMALL PIZZA~~MB S CLC NG MARGHERITA (PLANT) MYBOX,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'S', 'O', 'O', 'O', 'O', 'O']"
HUT TOPPINGS DEFAULT~~HUT TOPPINGS~~L PLANT (EX) CHEEZE +170 PLANT -225 MOZ,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. LG PIZZA~~JE. LARGE PIZZA~~LARGE DEAL 3 PLANT SAN FRAN VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
PREP LG TOPPINGS~~PREP BUILD~~L CLC 3G HOT HONEY DRIZZLE,"['O', 'S', 'C', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE SF UPG DEAL 2 PLANT MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. SML PIZZA~~UE. SMALL PIZZA~~SMALL PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O']"
JE. MED CLASSIC NO G~~JE. MED PIZZA~~M CLC NG PLANT VEG SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. MED PIZZA~~JE. MED PIZZA~~MEDIUM PLANT BEYOND ITALIAN SAUSAGE,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'B', 'O']"
HUT DEALS~~HUT DEALS~~SF DBLE MYBOX £19.99,"['O', 'C', 'O', 'C', 'O', 'O', 'O', 'O']"
JE. MED PIZZA~~JE. MED PIZZA~~MEDIUM DEAL 1 PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. MED PIZZA~~DV. MED PIZZA~~MEDIUM PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O']"
DV. CLASSIC SIDES~~DV. SIDES~~ONION RINGS,"['O', 'B', 'O', 'O', 'O', 'O', 'O']"
JE. SML CLASSIC NO G~~JE. SMALL PIZZA~~S SF NG PLANT VEG SUPREME,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
PHD TOPPINGS DEFAULT~~PHD TOPPINGS~~L PLANT (EXT) CHEEZE +170 PLANT -225 MOZ,"['O', 'C', 'O', 'O', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~S SF HOT HONEY PEPPERONI FEAST,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
UE. SML CLASSIC NO G~~UE. SMALL PIZZA~~S CLC NG PLANT BM ITALIAN SAUSAGE,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'B', 'O']"
JE. MED CLASSIC~~JE. MED PIZZA~~YUM M CLASSIC MEAT SUPREME,"['O', 'S', 'B', 'O', 'S', 'C', 'O', 'S', 'B', 'O', 'O']"
JE. MED CLASSIC NO G~~JE. MED PIZZA~~M SF NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
"PREP BASES~~FOOD PREPARED ITEMS~~16"" BNY VEGETABLE SUPREME WITH GARLIC SP","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~MEDIUM PLANT SAN FRAN VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE PLANT SAN FRAN BEYOND ITALIAN SAUS,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'B', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE DEAL 3 PLANT SAN FRAN MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. MED PIZZA~~JE. MED PIZZA~~MEDIUM DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
"HUT BNY PIZZAS~~HUT BNY~~16"" BNY TEXAN BBQ WITH GARLIC SPRINKLES)","['O', 'O', 'C', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
HUT DEALS~~HUT DEALS~~VALENTINE'S DEAL 2024,"['O', 'C', 'O', 'C', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE PLANT SAN FRAN VEG SIZZLER,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O']"
JE. MED CLASSIC NO G~~JE. MED PIZZA~~M SF NG HOT HONEY PEPPERONI FEAST,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
JE. MED CLASSIC NO G~~JE. MED PIZZA~~M CLC NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE DEAL 2 MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
DV. MED PIZZA~~DV. MED PIZZA~~M SF MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O']"
PREP BASES~~FOOD PREPARED ITEMS~~BNY NG HOT HONEY PEPPERONI FEAST,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. LG PIZZA~~DV. LARGE PIZZA~~LARGE UPG DEAL 2 PLANT VEG SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O', 'O', 'O']"
DV. SML PIZZA~~DV. SMALL PIZZA~~SMALL DEAL 1 PLANT MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
HUT LG CLASSIC NO GR~~HUT LARGE PIZZA~~L CLC NG PLANT VEG SIZZLER,"['O', 'S', 'B', 'O', 'O', 'O', 'S', 'C', 'O', 'O', 'O', 'O', 'O', 'O']"
UE. MED PIZZA~~UE. MED PIZZA~~M SF MEAT SUPREME,"['O', 'S', 'C', 'O', 'S', 'C', 'O', 'O', 'O', 'O']"
UE. LG PIZZA~~UE. LARGE PIZZA~~LARGE PLANT SAN FRAN MARGHERITA,"['O', 'S', 'C', 'O', 'S', 'C', 'S', 'O', 'O', 'O', 'O']"
